date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:21	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:15%20GMT	https://www.hik-connect.com/	www.hik-connect.com/index.html	(from )
14:26:22	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:15%20GMT	https://www.hik-connect.com/robots.txt		(from )
14:26:22	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jul%202021%2011:27:16%20GMT	http://www.hik-connect.com/devices/page	www.hik-connect.com/devices/page.0.delayed	(from https://www.hik-connect.com/)
14:26:23	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:17%20GMT	https://www.hik-connect.com/devices/page	www.hik-connect.com/devices/page	(from https://www.hik-connect.com/)
14:26:24	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jul%202021%2011:27:18%20GMT	http://www.hik-connect.com/auth?returnUrl=http://www.hik-connect.com/devices/page&host=www.hik-connect.com	www.hik-connect.com/auth1c03	(from https://www.hik-connect.com/)
14:26:25	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:19%20GMT	https://www.hik-connect.com/auth?returnUrl=http://www.hik-connect.com/devices/page&host=www.hik-connect.com	www.hik-connect.com/auth1c03	(from https://www.hik-connect.com/)
14:26:26	0/-1	---M--	301	error ('')			http://www.hik-connect.com/devices/page	www.hik-connect.com/devices/page.4.delayed	(from https://www.hik-connect.com/)
14:26:26	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:20%20GMT	https://www.hik-connect.com/devices/page	www.hik-connect.com/devices/page	(from https://www.hik-connect.com/)
14:26:27	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jul%202021%2011:27:21%20GMT	http://www.hik-connect.com/auth?returnUrl=http://www.hik-connect.com/devices/page&host=www.hik-connect.com	www.hik-connect.com/auth1c03	(from https://www.hik-connect.com/)
14:26:28	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2016%20Jul%202021%2011:27:22%20GMT	https://www.hik-connect.com/auth?returnUrl=http://www.hik-connect.com/devices/page&host=www.hik-connect.com	www.hik-connect.com/auth1c03	(from https://www.hik-connect.com/)
